scenario,commit,timestamp,mode,strategy,sql_execution,batcher,workers,writers,batch,delay_ms,capacity,prefetch,sqlbatch_max_commands,sqlbatch_delay_ms,sqlbatch_request_concurrency,dml_execute_calls,sql_commands,rows_per_execute,mean_commands_per_execute,p95_commands_per_execute,max_commands_per_execute,distribution,rows,duration_s,committed_rows_s,ack_s,p50_commit_ms,p95_commit_ms,p99_commit_ms,p50_ack_ms,p95_ack_ms,p99_ack_ms,errors,correct
"sqlbatch-distribution-multirowvalues-sqlbatch-hotparent","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:26.9078376+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,4,100,5,2000,800,4,1,1,93,200,215.054,2.151,4,4,HotParent,20000,3.986583,5016.828,5016.828,439.666,631.562,800.917,440.118,632.552,802.203,0,True
"sqlbatch-distribution-multirowvalues-sqlbatch-moderateskew","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:08:57.1619777+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,4,100,5,2000,800,4,1,1,90,200,222.222,2.222,4,4,ModerateSkew,20000,8.509520,2350.309,2350.309,524.442,3738.505,4265.550,524.647,3739.521,4266.061,0,True
"sqlbatch-distribution-tablevaluedparameter-native-hotparent","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:30.8798059+00:00",Queue,TableValuedParameter,Native,Channel,1,4,500,5,4000,2000,1,1,1,41,41,487.805,1.000,1,1,HotParent,20000,1.587036,12602.111,12602.111,380.190,644.580,665.037,380.481,647.924,666.175,0,True
"sqlbatch-distribution-tablevaluedparameter-native-moderateskew","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:17.3789524+00:00",Queue,TableValuedParameter,Native,Channel,1,4,500,5,4000,2000,1,1,1,47,47,425.532,1.000,1,1,ModerateSkew,20000,2.006368,9968.260,9968.260,339.853,586.948,737.854,346.532,587.125,739.144,0,True
"sqlbatch-distribution-tablevaluedparameter-sqlbatch-hotparent","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:49.3712282+00:00",Queue,TableValuedParameter,SqlBatch,Channel,1,4,500,5,4000,2000,4,1,1,19,43,1052.632,2.263,4,4,HotParent,20000,1.626109,12299.302,12299.302,379.257,530.070,571.644,384.916,541.298,572.323,0,True
"sqlbatch-distribution-tablevaluedparameter-sqlbatch-moderateskew","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:14.3266190+00:00",Queue,TableValuedParameter,SqlBatch,Channel,1,4,500,5,4000,2000,4,1,1,18,40,1111.111,2.222,4,4,ModerateSkew,20000,1.554183,12868.493,12868.493,343.594,541.526,557.991,356.394,567.059,579.216,0,True
"sqlbatch-instances-individual-native-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:33.7718429+00:00",Queue,Individual,Native,None,2,4,1,5,1000,250,1,1,1,2000,2000,1.000,1.000,1,1,Uniform,2000,1.321605,1513.311,1513.311,7.278,13.411,541.441,7.313,13.434,541.462,0,True
"sqlbatch-instances-individual-native-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:35.9036321+00:00",Queue,Individual,Native,None,4,4,1,5,1000,250,1,1,1,2000,2000,1.000,1.000,1,1,Uniform,2000,1.652353,1210.395,1210.395,8.753,58.092,541.047,8.846,58.529,541.154,0,True
"sqlbatch-instances-individual-sqlbatch-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:31.9615232+00:00",Queue,Individual,SqlBatch,None,2,4,1,5,1000,250,4,1,1,500,2000,4.000,4.000,4,4,Uniform,2000,9.769893,204.711,204.711,141.272,239.615,277.236,141.290,239.672,277.248,0,True
"sqlbatch-instances-individual-sqlbatch-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:06.8841334+00:00",Queue,Individual,SqlBatch,None,4,4,1,5,1000,250,4,1,1,529,2000,3.781,3.781,4,4,Uniform,2000,4.702244,425.329,425.329,56.333,99.334,227.411,56.370,99.378,227.513,0,True
"sqlbatch-instances-multipleinsertstatements-native-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:51.7680740+00:00",Queue,MultipleInsertStatements,Native,Channel,2,4,50,5,2000,400,1,1,1,400,400,50.000,1.000,1,1,Uniform,20000,1.557052,12844.783,12844.783,194.872,352.508,378.117,194.953,352.530,378.292,0,True
"sqlbatch-instances-multipleinsertstatements-native-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:09:54.7434906+00:00",Queue,MultipleInsertStatements,Native,Channel,4,4,50,5,2000,400,1,1,1,401,401,49.875,1.000,1,1,Uniform,20000,2.261077,8845.342,8845.342,629.292,811.714,878.518,629.433,811.795,878.567,0,True
"sqlbatch-instances-multipleinsertstatements-sqlbatch-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:16.9497890+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,2,4,50,5,2000,400,4,1,1,191,400,104.712,2.094,3,4,Uniform,20000,3.356808,5958.042,5958.042,511.554,638.417,657.574,511.653,638.531,657.629,0,True
"sqlbatch-instances-multipleinsertstatements-sqlbatch-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:10:19.6099396+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,4,4,50,5,2000,400,4,1,1,184,403,108.696,2.190,4,4,Uniform,20000,1.990374,10048.361,10048.361,533.818,676.294,843.761,534.015,676.737,843.816,0,True
"sqlbatch-lanes-individual-w4-c1-r4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:03:33.0263944+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,1,1,4,2000,2000,1.000,1.000,1,1,Uniform,2000,4.109393,486.690,486.690,30.692,38.681,55.962,30.712,38.759,55.974,0,True
"sqlbatch-lanes-individual-w4-c2-r2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:05:21.8825864+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,2,1,2,1000,2000,2.000,2.000,2,2,Uniform,2000,6.314760,316.718,316.718,43.123,78.110,111.982,43.166,78.126,112.004,0,True
"sqlbatch-lanes-individual-w8-c1-r8","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:06:00.9922290+00:00",Queue,Individual,SqlBatch,None,1,8,1,5,1000,250,1,1,8,2000,2000,1.000,1.000,1,1,Uniform,2000,2.397037,834.363,834.363,64.491,106.403,306.928,64.538,106.417,306.954,0,True
"sqlbatch-lanes-individual-w8-c2-r4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:05:06.8871870+00:00",Queue,Individual,SqlBatch,None,1,8,1,5,1000,250,2,1,4,1001,2000,1.998,1.998,2,2,Uniform,2000,4.225509,473.316,473.316,126.896,165.218,317.017,126.911,165.271,317.036,0,True
"sqlbatch-lanes-individual-w8-c4-r2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:05:46.8667618+00:00",Queue,Individual,SqlBatch,None,1,8,1,5,1000,250,4,1,2,500,2000,4.000,4.000,4,4,Uniform,2000,7.428354,269.239,269.239,234.748,290.520,416.791,234.762,290.561,416.877,0,True
"sqlbatch-lanes-multipleinsertstatements-w4-c1-r4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:04:54.9355749+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,4,50,5,2000,400,1,1,4,400,400,50.000,1.000,1,1,Uniform,20000,1.737200,11512.781,11512.781,107.657,294.320,354.588,107.740,294.379,354.668,0,True
"sqlbatch-lanes-multipleinsertstatements-w4-c2-r2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:04:51.8166381+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,4,50,5,2000,400,2,1,2,313,400,63.898,1.278,2,2,Uniform,20000,3.007738,6649.516,6649.516,201.771,347.076,471.629,201.865,347.114,471.655,0,True
"sqlbatch-lanes-multipleinsertstatements-w8-c1-r8","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:06:14.9646936+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,8,50,5,2000,400,1,1,8,401,401,49.875,1.000,1,1,Uniform,20000,1.543786,12955.165,12955.165,148.840,337.938,366.069,149.306,337.980,366.239,0,True
"sqlbatch-lanes-multipleinsertstatements-w8-c2-r4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:04:21.9019483+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,8,50,5,2000,400,2,1,4,222,401,90.090,1.806,2,2,Uniform,20000,1.765333,11329.309,11329.309,179.101,371.721,401.042,179.468,371.935,401.316,0,True
"sqlbatch-lanes-multipleinsertstatements-w8-c4-r2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:04:36.9216878+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,8,50,5,2000,400,4,1,2,131,401,152.672,3.061,4,4,Uniform,20000,2.973175,6726.815,6726.815,337.518,473.480,523.233,338.084,473.870,524.306,0,True
"sqlbatch-lanes-multirowvalues-w4-c1-r4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:04:39.6783166+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,4,100,5,2000,800,1,1,4,200,200,100.000,1.000,1,1,Uniform,20000,1.323294,15113.799,15113.799,131.951,289.333,346.531,132.127,289.409,346.727,0,True
"sqlbatch-lanes-multirowvalues-w4-c2-r2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:06:11.9044086+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,4,100,5,2000,800,2,1,2,100,200,200.000,2.000,2,2,Uniform,20000,2.550992,7840.086,7840.086,280.159,427.008,465.109,280.448,427.257,465.350,0,True
"sqlbatch-lanes-multirowvalues-w8-c1-r8","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:05:24.8960114+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,8,100,5,2000,800,1,1,8,200,200,100.000,1.000,1,1,Uniform,20000,1.247681,16029.738,16029.738,119.106,410.215,631.896,119.870,410.315,631.933,0,True
"sqlbatch-lanes-multirowvalues-w8-c2-r4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:04:15.0553881+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,8,100,5,2000,800,2,1,4,110,201,181.818,1.827,2,2,Uniform,20000,1.475601,13553.800,13553.800,170.558,358.633,405.702,171.005,358.978,406.428,0,True
"sqlbatch-lanes-multirowvalues-w8-c4-r2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:04:25.5327536+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,8,100,5,2000,800,4,1,2,54,201,370.370,3.722,4,4,Uniform,20000,2.135742,9364.426,9364.426,265.364,439.825,530.884,267.428,443.193,532.631,0,True
"sqlbatch-lanes-tablevaluedparameter-w4-c1-r4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:05:56.8728562+00:00",Queue,TableValuedParameter,SqlBatch,Channel,1,4,500,5,4000,2000,1,1,4,44,44,454.545,1.000,1,1,Uniform,20000,1.503357,13303.563,13303.563,243.806,482.267,528.868,246.381,482.774,529.736,0,True
"sqlbatch-lanes-tablevaluedparameter-w4-c2-r2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:05:50.3201115+00:00",Queue,TableValuedParameter,SqlBatch,Channel,1,4,500,5,4000,2000,2,1,2,31,41,645.161,1.323,2,2,Uniform,20000,1.909407,10474.459,10474.459,479.567,615.931,665.382,481.229,616.057,672.386,0,True
"sqlbatch-lanes-tablevaluedparameter-w8-c1-r8","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:06:31.9450286+00:00",Queue,TableValuedParameter,SqlBatch,Channel,1,8,500,5,4000,2000,1,1,8,45,45,444.444,1.000,1,1,Uniform,20000,11.419104,1751.451,1751.451,3421.969,7009.646,9399.309,3424.189,7009.724,9402.617,0,True
"sqlbatch-lanes-tablevaluedparameter-w8-c2-r4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:04:11.8588190+00:00",Queue,TableValuedParameter,SqlBatch,Channel,1,8,500,5,4000,2000,2,1,4,27,43,740.741,1.593,2,2,Uniform,20000,9.152448,2185.208,2185.208,1048.816,8264.950,8330.483,1061.073,8269.583,8331.596,0,True
"sqlbatch-lanes-tablevaluedparameter-w8-c4-r2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:03:52.0444131+00:00",Queue,TableValuedParameter,SqlBatch,Channel,1,8,500,5,4000,2000,4,1,2,15,47,1333.333,3.133,4,4,Uniform,20000,9.176282,2179.532,2179.532,3196.201,4508.582,4511.670,3199.198,4517.301,4520.162,0,True
"sqlbatch-writers-individual-native-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:00:55.1550334+00:00",Queue,Individual,Native,None,1,2,1,5,1000,250,1,1,1,2000,2000,1.000,1.000,1,1,Uniform,2000,4.060056,492.604,492.604,7.191,9.578,14.243,7.212,9.606,14.297,0,True
"sqlbatch-writers-individual-native-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:00:03.8918559+00:00",Queue,Individual,Native,None,1,4,1,5,1000,250,1,1,1,2000,2000,1.000,1.000,1,1,Uniform,2000,1.575571,1269.381,1269.381,7.268,9.069,21.921,7.302,9.095,21.976,0,True
"sqlbatch-writers-individual-native-8","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:00:27.0169632+00:00",Queue,Individual,Native,None,1,8,1,5,1000,250,1,1,1,2000,2000,1.000,1.000,1,1,Uniform,2000,1.750124,1142.776,1142.776,7.246,10.965,1286.373,7.267,10.979,1286.409,0,True
"sqlbatch-writers-individual-sqlbatch-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:57:41.7404588+00:00",Queue,Individual,SqlBatch,None,1,2,1,5,1000,250,2,1,1,1000,2000,2.000,2.000,2,2,Uniform,2000,12.014434,166.466,166.466,21.546,34.466,40.098,21.571,34.532,40.145,0,True
"sqlbatch-writers-individual-sqlbatch-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:59:21.7325974+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,4,1,1,500,2000,4.000,4.000,4,4,Uniform,2000,18.511114,108.043,108.043,96.944,129.760,2613.264,96.974,129.845,2613.361,0,True
"sqlbatch-writers-individual-sqlbatch-8","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:58:21.7159938+00:00",Queue,Individual,SqlBatch,None,1,8,1,5,1000,250,8,1,1,250,2000,8.000,8.000,8,8,Uniform,2000,10.796276,185.249,185.249,324.167,484.211,510.280,324.238,484.229,510.310,0,True
"sqlbatch-writers-multipleinsertstatements-native-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:00:16.8474228+00:00",Queue,MultipleInsertStatements,Native,Channel,1,2,50,5,2000,400,1,1,1,400,400,50.000,1.000,1,1,Uniform,20000,2.800922,7140.506,7140.506,96.724,146.683,259.337,96.794,146.781,259.377,0,True
"sqlbatch-writers-multipleinsertstatements-native-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:00:50.6669129+00:00",Queue,MultipleInsertStatements,Native,Channel,1,4,50,5,2000,400,1,1,1,400,400,50.000,1.000,1,1,Uniform,20000,1.735553,11523.705,11523.705,111.226,299.267,370.973,111.318,299.332,371.005,0,True
"sqlbatch-writers-multipleinsertstatements-native-8","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:57:44.1401668+00:00",Queue,MultipleInsertStatements,Native,Channel,1,8,50,5,2000,400,1,1,1,400,400,50.000,1.000,1,1,Uniform,20000,1.556290,12851.074,12851.074,148.950,328.004,355.828,149.216,328.268,356.580,0,True
"sqlbatch-writers-multipleinsertstatements-sqlbatch-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:59:46.8230748+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,2,50,5,2000,400,2,1,1,389,400,51.414,1.028,1,2,Uniform,20000,5.429621,3683.498,3683.498,190.595,290.132,367.205,190.670,290.149,367.237,0,True
"sqlbatch-writers-multipleinsertstatements-sqlbatch-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:58:41.8298960+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,4,50,5,2000,400,4,1,1,195,400,102.564,2.051,2,4,Uniform,20000,5.375096,3720.864,3720.864,406.495,529.158,605.445,406.569,529.223,605.638,0,True
"sqlbatch-writers-multipleinsertstatements-sqlbatch-8","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:00:01.8806465+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,8,50,5,2000,400,8,1,1,98,400,204.082,4.082,7,8,Uniform,20000,5.141471,3889.937,3889.937,559.614,877.060,976.655,560.255,877.460,977.326,0,True
"sqlbatch-writers-multirowvalues-native-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:59:31.2316698+00:00",Queue,MultiRowValues,Native,Channel,1,2,100,5,2000,800,1,1,1,200,200,100.000,1.000,1,1,Uniform,20000,2.195032,9111.482,9111.482,150.621,268.131,365.639,150.702,268.216,365.680,0,True
"sqlbatch-writers-multirowvalues-native-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:00:24.8286709+00:00",Queue,MultiRowValues,Native,Channel,1,4,100,5,2000,800,1,1,1,200,200,100.000,1.000,1,1,Uniform,20000,1.290052,15503.247,15503.247,123.426,335.620,364.797,123.712,335.932,365.084,0,True
"sqlbatch-writers-multirowvalues-native-8","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:00:05.9825169+00:00",Queue,MultiRowValues,Native,Channel,1,8,100,5,2000,800,1,1,1,202,202,99.010,1.000,1,1,Uniform,20000,1.224050,16339.195,16339.195,120.429,364.870,509.211,121.011,367.342,509.402,0,True
"sqlbatch-writers-multirowvalues-sqlbatch-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:00:22.6834527+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,2,100,5,2000,800,2,1,1,195,200,102.564,1.026,1,2,Uniform,20000,4.281744,4670.994,4670.994,337.236,382.461,435.945,337.309,382.581,436.031,0,True
"sqlbatch-writers-multirowvalues-sqlbatch-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:57:50.0367834+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,4,100,5,2000,800,4,1,1,96,200,208.333,2.083,3,4,Uniform,20000,4.492679,4451.687,4451.687,530.572,585.813,632.663,530.989,586.249,632.731,0,True
"sqlbatch-writers-multirowvalues-sqlbatch-8","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:59:28.2749512+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,8,100,5,2000,800,8,1,1,44,200,454.545,4.545,8,8,Uniform,20000,4.489597,4454.743,4454.743,628.148,739.302,797.695,628.738,739.676,798.917,0,True
"sqlbatch-writers-tablevaluedparameter-native-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:00:29.4598098+00:00",Queue,TableValuedParameter,Native,Channel,1,2,500,5,4000,2000,1,1,1,41,41,487.805,1.000,1,1,Uniform,20000,1.561336,12809.544,12809.544,251.254,373.326,413.308,253.736,377.388,419.822,0,True
"sqlbatch-writers-tablevaluedparameter-native-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:00:39.3508002+00:00",Queue,TableValuedParameter,Native,Channel,1,4,500,5,4000,2000,1,1,1,44,44,454.545,1.000,1,1,Uniform,20000,1.562368,12801.083,12801.083,271.003,405.358,571.411,273.197,407.542,573.396,0,True
"sqlbatch-writers-tablevaluedparameter-native-8","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:58:25.9536725+00:00",Queue,TableValuedParameter,Native,Channel,1,8,500,5,4000,2000,1,1,1,52,52,384.615,1.000,1,1,Uniform,20000,1.767595,11314.807,11314.807,311.346,697.718,1197.308,313.684,697.807,1198.325,0,True
"sqlbatch-writers-tablevaluedparameter-sqlbatch-2","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:00:46.7843577+00:00",Queue,TableValuedParameter,SqlBatch,Channel,1,2,500,5,4000,2000,2,1,1,38,41,526.316,1.079,2,2,Uniform,20000,1.800609,11107.351,11107.351,268.436,429.320,478.542,270.711,429.709,481.680,0,True
"sqlbatch-writers-tablevaluedparameter-sqlbatch-4","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-04T23:59:50.0223310+00:00",Queue,TableValuedParameter,SqlBatch,Channel,1,4,500,5,4000,2000,4,1,1,19,41,1052.632,2.158,4,4,Uniform,20000,1.586729,12604.550,12604.550,346.399,499.286,527.782,347.599,512.364,529.190,0,True
"sqlbatch-writers-tablevaluedparameter-sqlbatch-8","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:00:36.8653899+00:00",Queue,TableValuedParameter,SqlBatch,Channel,1,8,500,5,4000,2000,8,1,1,8,45,2500.000,5.625,8,8,Uniform,20000,1.647965,12136.179,12136.179,468.604,610.798,626.577,476.430,630.422,658.939,0,True
"confirmed-sqlbatch-individual-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:21:19.9771878+00:00",Queue,Individual,Native,None,1,4,1,5,1000,250,1,1,1,50000,50000,1.000,1.000,1,1,Uniform,50000,37.498742,1333.378,1333.378,8.708,13.078,118.620,8.725,13.105,118.984,0,True
"confirmed-sqlbatch-individual-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:23:54.9711420+00:00",Queue,Individual,Native,None,1,4,1,5,1000,250,1,1,1,50000,50000,1.000,1.000,1,1,Uniform,50000,74.147069,674.335,674.335,8.139,120.393,355.200,8.153,120.490,355.216,0,True
"confirmed-sqlbatch-individual-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:14:54.9531891+00:00",Queue,Individual,Native,None,1,4,1,5,1000,250,1,1,1,50000,50000,1.000,1.000,1,1,Uniform,50000,25.251886,1980.050,1980.050,7.477,10.757,13.953,7.494,10.781,13.983,0,True
"confirmed-sqlbatch-individual-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:38:30.5681072+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,1,1,4,50000,50000,1.000,1.000,1,1,Uniform,50000,149.425473,334.615,334.615,34.709,55.535,503.432,34.731,55.583,503.447,0,True
"confirmed-sqlbatch-individual-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:29:14.8584332+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,1,1,4,50000,50000,1.000,1.000,1,1,Uniform,50000,147.417028,339.174,339.174,33.751,54.534,524.473,33.780,54.565,524.525,0,True
"confirmed-sqlbatch-individual-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:17:44.7159736+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,1,1,4,50000,50000,1.000,1.000,1,1,Uniform,50000,139.399712,358.681,358.681,31.580,49.459,541.297,31.602,49.499,541.387,0,True
"confirmed-sqlbatch-multi-row-values-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:26:45.3007265+00:00",Queue,MultiRowValues,Native,Channel,1,4,100,5,2000,800,1,1,1,5000,5000,100.000,1.000,1,1,Uniform,500000,33.941001,14731.445,14731.445,131.637,159.939,1644.317,131.835,160.061,1647.676,0,True
"confirmed-sqlbatch-multi-row-values-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:34:05.6045285+00:00",Queue,MultiRowValues,Native,Channel,1,4,100,5,2000,800,1,1,1,5003,5003,99.940,1.000,1,1,Uniform,500000,46.329500,10792.260,10792.260,128.332,1026.554,2311.147,128.534,1026.709,2312.180,0,True
"confirmed-sqlbatch-multi-row-values-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:35:00.7003341+00:00",Queue,MultiRowValues,Native,Channel,1,4,100,5,2000,800,1,1,1,5001,5001,99.980,1.000,1,1,Uniform,500000,34.441986,14517.165,14517.165,137.277,220.898,794.151,137.519,221.020,795.209,0,True
"confirmed-sqlbatch-multi-row-values-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:13:00.2564832+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,4,100,5,2000,800,1,1,4,5000,5000,100.000,1.000,1,1,Uniform,500000,25.552320,19567.695,19567.695,118.956,149.567,183.310,119.162,149.780,183.532,0,True
"confirmed-sqlbatch-multi-row-values-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:35:50.3875025+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,4,100,5,2000,800,1,1,4,5000,5000,100.000,1.000,1,1,Uniform,500000,27.868443,17941.440,17941.440,128.062,164.988,323.400,128.273,165.231,323.530,0,True
"confirmed-sqlbatch-multi-row-values-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:42:05.8498785+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,4,100,5,2000,800,1,1,4,5004,5004,99.920,1.000,1,1,Uniform,500000,25.319365,19747.731,19747.731,117.919,149.765,177.150,118.135,149.942,177.813,0,True
"confirmed-sqlbatch-multiple-statements-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:14:10.4164990+00:00",Queue,MultipleInsertStatements,Native,Channel,1,4,50,5,2000,400,1,1,1,10000,10000,50.000,1.000,1,1,Uniform,500000,36.979768,13520.907,13520.907,111.291,145.870,174.393,111.335,145.928,174.432,0,True
"confirmed-sqlbatch-multiple-statements-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:30:25.6225966+00:00",Queue,MultipleInsertStatements,Native,Channel,1,4,50,5,2000,400,1,1,1,10000,10000,50.000,1.000,1,1,Uniform,500000,57.553754,8687.531,8687.531,111.990,196.415,2818.812,112.037,196.492,2818.820,0,True
"confirmed-sqlbatch-multiple-statements-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:33:05.6352612+00:00",Queue,MultipleInsertStatements,Native,Channel,1,4,50,5,2000,400,1,1,1,10000,10000,50.000,1.000,1,1,Uniform,500000,40.988972,12198.403,12198.403,120.991,161.174,316.962,121.039,161.205,317.019,0,True
"confirmed-sqlbatch-multiple-statements-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:20:35.5915479+00:00",Queue,MultipleInsertStatements,SqlBatch,Channel,1,4,50,5,2000,400,1,1,4,10003,10003,49.985,1.000,1,1,Uniform,500000,41.458901,12060.136,12060.136,121.550,165.535,281.731,121.608,165.579,281.764,0,True
